numero_boletim;data hora_boletim;data_inclusao;tipo_acidente;desc_tipo_acidente;cod_tempo;desc_tempo;cod_pavimento;pavimento;cod_regional;desc_regional;origem_boletim;local_sinalizado;velocidade_permitida;coordenada_x;coordenada_y;hora_informada;indicador_fatalidade;valor_ups;descricao_ups;data_alteracao_smsa;valor_ups_antiga;descricao_ups_antiga;ano;mes;lat;lon;bairro
2018-032586987-001;24/07/2018 09:55;24/07/2018 10:51; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;4;CALCAMENTO     ;20;LESTE          ;POLICIA MILITAR;NÃO;0;612552.29;7797199.94;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.92463063302714;-19.91829789138136;Floresta
2018-032600772-001;24/07/2018 07:40;24/07/2018 12:24; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;610597.33;7798468.92;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.94338285450204;-19.90694433722302;Lagoinha
2018-032601489-001;24/07/2018 11:23;24/07/2018 12:32; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;608550.21;7789129.68;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.9623867727839;-19.99144179735299;Olhos D'Água
2018-032601987-001;24/07/2018 12:03;24/07/2018 12:36; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;609340.67;7795988.99;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.95523996682473;-19.92942205223285;Santo Agostinho
2018-032614055-001;24/07/2018 08:00;24/07/2018 14:04; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;610956.85;7806583.06;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.940435789491936;-19.833610489925324;Santa Isabel
2018-032622612-001;24/07/2018 14:09;24/07/2018 14:45; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;603795.24;7794471.9;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-44.008135394415056;-19.943433117251768;Glalijá
2018-032668299-001;24/07/2018 17:35;24/07/2018 18:19; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA MILITAR;NÃO;0;606596.51;7793718.89;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.9813260093768;-19.95008531014655;Havaí
2018-032672689-001;24/07/2018 17:42;24/07/2018 18:44; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;605350.81;7799977.93;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.99358696708037;-19.89360047924674;Manacás
2018-032672754-001;24/07/2018 17:46;24/07/2018 18:44; H09002;COLISAO DE VEICULOS COM VITIMA                    ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;614795.54;7806103.46;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.9037540443369;-19.837722359144884;Vila São Judas Tadeu
2018-032674650-001;24/07/2018 17:15;24/07/2018 18:55; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;605418.89;7810211.09;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2018;07;-43.993519699149594;-19.80113568747525;Lagoinha (Venda Nova)
