numero_boletim;data hora_boletim;data_inclusao;tipo_acidente;desc_tipo_acidente;cod_tempo;desc_tempo;cod_pavimento;pavimento;cod_regional;desc_regional;origem_boletim;local_sinalizado;velocidade_permitida;coordenada_x;coordenada_y;hora_informada;indicador_fatalidade;valor_ups;descricao_ups;data_alteracao_smsa;valor_ups_antiga;descricao_ups_antiga;ano;mes;lat;lon;bairro
2019-000009538-001;01/01/2019 01:40;01/01/2019 02:31; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;611366.53;7795449.66;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.93585253582027;-19.934180166919976;Lourdes
2019-000011370-001;01/01/2019 02:46;01/01/2019 07:25; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;608296.3;7804869.4;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.9657388829963;-19.84924308174249;São Luiz (Pampulha)
2019-000013510-001;01/01/2019 02:19;01/01/2019 03:24; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;19;CENTRO-SUL     ;POLICIA MILITAR;NÃO;0;611684.46;7796235.17;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.93286264666797;-19.927064722227826;Funcionários
2019-000017471-001;01/01/2019 03:18;01/01/2019 04:25; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;614254.84;7796496.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.90832233832987;-19.92455633811725;Paraíso
2019-000020120-001;01/01/2019 04:26;01/01/2019 05:06; H01002;ABALROAMENTO COM VITIMA                           ;4;NUBLADO        ;1;ASFALTO        ;20;LESTE          ;POLICIA MILITAR;NÃO;0;612733.57;7799405.68;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.923033727135085;-19.898358158145555;Graça
2019-000028233-001;01/01/2019 07:12;01/01/2019 08:00; H08002;CHOQUE MECANICO COM VITIMA                        ;2;CHUVA          ;1;ASFALTO        ;23;NORTE          ;POLICIA MILITAR;NÃO;0;611707.91;7803517.8;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.93307953395276;-19.861263209872593;Primeiro de Maio
2019-000030323-001;01/01/2019 02:00;01/01/2019 08:46; H01002;ABALROAMENTO COM VITIMA                           ;2;CHUVA          ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;603620.24;7787305.95;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-44.0094030516341;-20.0081893557294;Urucuia
2019-000030611-001;01/01/2019 06:30;01/01/2019 08:51; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;607441.02;7797479.9;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.973476067401506;-19.9160569864425;Humaitá
2019-000033132-001;01/01/2019 08:17;01/01/2019 09:47; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;608450.35;7797938.04;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-43.96386075867728;-19.91186163371976;Pedro II
2019-000042096-001;01/01/2019 11:11;01/01/2019 12:22; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;603117.0;7789361.29;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2019;01;-44.01432903439358;-19.989645484538716;Santa Cruz (Barreiro)
