numero_boletim;data hora_boletim;data_inclusao;tipo_acidente;desc_tipo_acidente;cod_tempo;desc_tempo;cod_pavimento;pavimento;cod_regional;desc_regional;origem_boletim;local_sinalizado;velocidade_permitida;coordenada_x;coordenada_y;hora_informada;indicador_fatalidade;valor_ups;descricao_ups;data_alteracao_smsa;valor_ups_antiga;descricao_ups_antiga;ano;mes;lat;lon;bairro
2017-034368071-001;11/11/2017 00:46;11/11/2017 02:05; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;POLICIA MILITAR;NÃO;0;603468.3;7790499.36;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-44.01103558757912;-19.979343922281853;Santa Maria Goretti
2017-034377690-001;10/11/2017 23:16;11/11/2017 05:08; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;609063.07;7804206.3;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.95837781097621;-19.85519179538167;Pampulha
2017-034385790-001;11/11/2017 06:48;11/11/2017 08:33; H08002;CHOQUE MECANICO COM VITIMA                        ;2;CHUVA          ;1;ASFALTO        ;21;NORDESTE       ;POLICIA MILITAR;NÃO;0;612240.6;7802504.66;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.92793095797817;-19.870386642154603;São Paulo
2017-034387460-001;09/11/2017 07:15;11/11/2017 09:08; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;24;OESTE          ;POLICIA CIVIL  ;NÃO;0;602946.29;7795800.43;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-44.01632136312208;-19.93147441216905;Santa Maria
2017-034392841-001;11/11/2017 07:57;11/11/2017 10:34; H09002;COLISAO DE VEICULOS COM VITIMA                    ;2;CHUVA          ;1;ASFALTO        ;26;VENDA NOVA     ;POLICIA MILITAR;NÃO;0;606388.04;7810703.8;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.98429612651486;-19.796631469584632;Mantiqueira
2017-034400354-001;11/11/2017 10:05;11/11/2017 12:19; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA MILITAR;NÃO;0;612066.78;7805908.33;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.929797230477824;-19.83964361194759;Floramar
2017-034401177-001;11/11/2017 10:48;11/11/2017 12:33; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;611438.17;7798441.37;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.93534906272929;-19.907145366406354;Concórdia
2017-034401268-001;11/11/2017 10:04;11/11/2017 12:34; H09002;COLISAO DE VEICULOS COM VITIMA                    ;2;CHUVA          ;1;ASFALTO        ;25;PAMPULHA       ;POLICIA MILITAR;NÃO;0;611687.02;7803572.02;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.93328230365682;-19.860774512460022;Primeiro de Maio
2017-034405162-002;11/11/2017 12:20;11/11/2017 13:55; H08002;CHOQUE MECANICO COM VITIMA                        ;2;CHUVA          ;1;ASFALTO        ;22;NOROESTE       ;POLICIA MILITAR;NÃO;0;607538.31;7796921.11;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.97251402374341;-19.921100459794076;Calafate
2017-034407068-001;11/11/2017 12:20;11/11/2017 13:52; H01002;ABALROAMENTO COM VITIMA                           ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;23;NORTE          ;POLICIA MILITAR;NÃO;0;611221.57;7808216.92;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.93800629717066;-19.818833040758935;Marize
2017-034411460-001;11/11/2017 12:10;11/11/2017 14:35; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;POLICIA MILITAR;NÃO;0;612917.13;7797560.89;SIM;NÃO;0;NÃO INFORMADO;00/00/0000;0;NÃO INFORMADO;2017;11;-43.921167387844626;-19.915015535132323;Santa Teresa
